19.0,-6.0,-5.6,2.775509564478869e-06
19.0,-6.0,-5.4,0.00015487085461036228
19.0,-6.0,-5.2,0.0004945499052778677
19.0,-6.0,-5.0,9.541479149409716e-06
19.0,-6.0,5.0,9.541479145114658e-06
19.0,-6.0,5.2,0.0004945499052656792
19.0,-6.0,5.4,0.00015487085461779647
19.0,-6.0,5.6,2.77551026493625e-06
19.0,-5.8,-5.8,3.28231618747065e-06
19.0,-5.8,5.8,3.28231618747065e-06
19.0,-5.6,-5.8,0.00019183600626927256
19.0,-5.6,-5.4,1.4838957682531265e-06
19.0,-5.6,5.4,1.4838957682531265e-06
19.0,-5.6,5.8,0.00019183600626927256
19.0,5.6,-5.8,0.0001918360062670863
19.0,5.6,-5.4,1.4838970430380297e-06
19.0,5.6,5.4,1.4838970430380297e-06
19.0,5.6,5.8,0.0001918360062670863
19.0,5.8,-5.8,3.282316407672989e-06
19.0,5.8,5.8,3.282316407672989e-06
19.0,6.0,-5.6,2.775510146139503e-06
19.0,6.0,-5.4,0.00015487085460822388
19.0,6.0,-5.2,0.0004945499075417641
19.0,6.0,-5.0,9.541479148629363e-06
19.0,6.0,5.0,9.541479145924975e-06
19.0,6.0,5.2,0.000494549907016938
19.0,6.0,5.4,0.0001548708546082983
19.0,6.0,5.6,2.775510268516644e-06
19.2,-5.6,-4.8,0.00020579090951148508
19.2,-5.6,-4.6,9.350758998626631e-07
19.2,-5.6,4.6,9.350758998626631e-07
19.2,-5.6,4.8,0.00020579090951148508
19.2,5.6,-4.8,0.00020579090952095981
19.2,5.6,-4.6,9.350758992913266e-07
19.2,5.6,4.6,9.350758992913266e-07
19.2,5.6,4.8,0.00020579090952095981
19.4,-5.6,-4.0,0.00014200115407874618
19.4,-5.6,4.0,0.00014200115407874618
19.4,-4.2,-5.6,9.836160931178064e-06
19.4,-4.2,5.6,9.836160931178064e-06
19.4,-3.4,-5.8,1.1698998040865244e-05
19.4,-3.4,5.8,1.1698998040865244e-05
19.4,3.4,-5.8,1.1699004019652588e-05
19.4,3.4,5.8,1.1699004019652588e-05
19.4,4.2,-5.6,9.836160949463347e-06
19.4,4.2,5.6,9.836160949463347e-06
19.4,5.6,-4.0,0.0001420011540790116
19.4,5.6,4.0,0.0001420011540790116
19.4,-5.6,-4.0,0.00014200115407874618
19.4,-5.6,4.0,0.00014200115407874618
19.4,-4.2,-5.6,9.836160931178064e-06
19.4,-4.2,5.6,9.836160931178064e-06
19.4,-3.4,-5.8,1.1698998040865244e-05
19.4,-3.4,5.8,1.1698998040865244e-05
19.4,3.4,-5.8,1.1699004019652588e-05
19.4,3.4,5.8,1.1699004019652588e-05
19.4,4.2,-5.6,9.836160949463347e-06
19.4,4.2,5.6,9.836160949463347e-06
19.4,5.6,-4.0,0.0001420011540790116
19.4,5.6,4.0,0.0001420011540790116
19.6,-5.6,-3.0,3.5014760413437167e-06
19.6,-5.6,-2.8,4.008711562193143e-05
19.6,-5.6,-2.6,5.951784874747771e-05
19.6,-5.6,-2.4,7.808160163401309e-06
19.6,-5.6,2.4,7.808160161366707e-06
19.6,-5.6,2.6,5.951784876457385e-05
19.6,-5.6,2.8,4.00871155943573e-05
19.6,-5.6,3.0,3.501476028491834e-06
19.6,-3.0,-5.6,3.50266435400581e-06
19.6,-3.0,5.6,3.50266435400581e-06
19.6,-1.8,-5.8,3.1977414163202646e-06
19.6,-1.8,5.8,3.1977414163202646e-06
19.6,1.8,-5.8,3.1977413729460295e-06
19.6,1.8,5.8,3.1977413729460295e-06
19.6,3.0,-5.6,3.5026643538698534e-06
19.6,3.0,5.6,3.5026643538698534e-06
19.6,5.6,-3.0,3.5014760633672137e-06
19.6,5.6,-2.8,4.008711560709574e-05
19.6,5.6,-2.6,5.951784874633144e-05
19.6,5.6,-2.4,7.808160159628448e-06
19.6,5.6,2.4,7.808160157917141e-06
19.6,5.6,2.6,5.9517848757586145e-05
19.6,5.6,2.8,4.008711562837135e-05
19.6,5.6,3.0,3.501475979778188e-06
19.8,-5.6,-0.6,5.898956305370064e-07
19.8,-5.6,0.0,1.8553262063366118e-06
19.8,-5.6,0.6,5.898956327623005e-07
